"","Year","SP","rec","GAP","INF","dette"
"1","1990",NA,NA,-1.32423648477179,6.54529307282414,NA
"2","1991",-2.2011635269661,22.374816325543,-3.56713550306195,8.19371509544085,63.295683874263
"3","1992",-0.4288046115214,22.250262561857,9.97783304033104,5.82434514637906,62.112110151974
"4","1993",-0.061275002941581,23.447017485223,1.9098751929389,3.9749563191613,63.783667023504
"5","1994",0.43688021849289,23.072150333725,-1.89795824271665,4.73323063996595,63.887818737867
"6","1995",-0.97783103792437,22.050172224996,-10.0171164134581,6.24415028747146,65.627247531195
"7","1996",-1.3776601348438,21.498593092142,-0.655121844813212,3.72514472690715,66.794796674189
"8","1997",-0.42651103087443,20.826740647901,0.999252224263322,3.65202620723071,66.633241752936
"9","1998",0.1475560686803,21.338845428407,-0.0305207968939997,3.12536579655862,58.194360680242
"10","1999",-0.11134439512043,20.957077691688,4.63013752312576,2.6901248581158,61.92493912252
"11","2000",-0.34104251992573,20.828845087702,5.35957816099478,2.96230794738606,62.859369489399
"12","2001",-0.21681848206089,21.113375371542,3.83479443287554,1.98333333333337,52.155055224269
"13","2002",0.10431442022706,21.577437823966,-7.16601628679927,2.72103284850455,51.625206570368
"14","2003",-0.20698575435408,20.829019582685,-5.49746270115722,2.71259247474352,52.556324254975
"15","2004",0.32732875420723,20.920443493959,0.890881447759519,3.63228004956625,51.577536679993
"16","2005",-0.17052697100072,20.45004199713,-4.28011220946096,2.01778641357144,49.976617967523
"17","2006",0.019547853025191,20.518026180493,-2.81835408026497,3.22525337438917,45.715139972816
"18","2007",-0.20646462825566,20.852850978362,5.0928072742752,2.96694432477349,42.704381630427
"19","2008",1.3511918002643,23.051084776056,5.67259278959755,4.34502807623045,45.0534974861
"20","2009",-0.66955586539732,22.050663173985,4.55967001699444,3.66490330642919,44.470721017548
"21","2010",1.2851577085247,23.542123684853,6.00224231831791,3.33897963601069,43.359989487618
"22","2011",-1.4364813971696,24.694041740389,-11.0526833546337,3.24002842009531,46.969845628407
"23","2012",-3.1832263023835,23.450604881209,-2.72056407097865,4.6118443220664,51.780182497876
"24","2013",-5.2634704453405,23.750059659004,-1.51109211305492,5.31623531326689,46.745042570193
"25","2014",-1.3386745563162,24.571906504078,2.59327462516036,4.62555099534031,50.736851420707
"26","2015",-3.1174074980153,22.495889549349,-0.931958201756463,4.437371273215,52.400598477735
"27","2016",-3.784231144259,21.344289583309,-2.83963313356166,3.62939937384381,58.908008886484
"28","2017",-3.3926834594206,23.117388866061,1.05219194699981,5.30884839565844,67.098639659749
"29","2018",-1.7854507201188,24.419333268871,8.5525954868243,7.30759176031652,72.908218446253
"30","2019",-1.0076107906185,25.928959075789,14.585641076894,6.72007532863799,67.296567926167
"31","2020",-5.925352298416,25.447903374501,-21.442724781141,5.63415115897625,77.623822031521
"32","2021",-4.7855650236988,25.6750682859,-3.60002167985661,5.706350208307,79.941867979709
"33","2022",-3.4053959217361,28.457076366085,5.60416788401022,8.30646124447623,79.775081879292
